,tweets
786,'STRIKING RESEMBLANCE: Usher Raymond Twin Brother Discovered In Nigeria [PHOTOS]
787,'(PHOTOS) JAPAN Annual Pen1s Festival : (NSFW)
788,'Highest Paid Black Actors
789,'5 Secrets Women Keep From Their Husbands
790,"'Guys, 11 Places Women Want To Be Touched"
791,' @TheKnowIedge: Listening to music activates the reward system in our brains This is why we spend money attending concerts and buying s
792,'[InformationNigeria] Fourteen-year old\xa0Bride Apologises For Killing 35-year-old Husband With Rat Poison 17 Days After Wedding...'
793,' @Funny_Truth: You must be my new boss because you just gave me a raise.'
794,""" @OMGFacts: This Artist Made 19 Sick Kids Dreams Come True Aaaaaaand Now I'm Crying ---&gt;"
795,"'\\""@LargerThanWords: Never bend your head. Hold it high. Look the world straight in the eye.\\""'"
796,' @TheseDamnQuote: Sometimes you have to go through the hard times to realize how strong you are.'
797,"' @manamica: \\""Whether you think you can or think you can\'t, you are right.\\"" - Henry Ford TheMorningConvo'"
798,"'A real boyfriend never \\""gives up\\"" on his girl. Period!'"
799,"'Your ability to do the extraordinary, puts you above ordinary.'"
800,"""Once you pop, the fun don't stop."""
801,'DISTURBING VIDEO: Naked Prostitute Fights Man On The Streets For Refusing To Pay For Sex [WATCH]
802,'Job Vacancy: Google is hiring with good pay! (Apply Now)
803,'Sean Tizzle - Kilogbe (Music Video) | Download
804,'Unbelievable: Pistorius caught on camera kissing girlfriend before killing her (Photos)
805,'Not Again: Kanu undergoes another heart surgery
806,'Photos: Mikel Obi and Genevieve Nnaji co-star in new movie
807,'Knife-wielding terror gang attack train station in China killing 33
808,'26-Yr-Old Catholic nun Pleads Guilty To Killing Her Newborn After Giving Birth In Convent
809,"'Not again Rihanna, not again"
810,"'See what Omotola Jalade Ekeinde said about gender equality, Great Point"
811,"""Oscars 2014: Complete winners' list"
812,"'PHOTOS: Footballer Ronaldo Strikes Gold At World Biggest, Nudest Street Party In Brazil [LOOK]"
813,'Fuel Scarcity: Petrol Stations In Lagos Run Out Of Supply
814,"'Oscars 2014: This Is The Most Retweeted Selfie In HUMAN History, Frankly, Most Famous Selfie Too [LOOK]"
815,"' Oscar Pistorius Knows What Happened As Murder Case Opens, Forensics Takes Centre Stage"
816,'The Health Benefits Of Spicy Foods
817,' Brink Of Disaster Ukraine Puts Armed Forces On Combat Alert Amid Crisis With Russia
818,' @AgwuComedy: You alive; you have mass; and you occupy space. Do you know what this means? YOU MATTER!. if you get it.'
819,' @TheFactsBook: It is possible for humans to smell a storm coming.'
820,""" @TheseDamnQuote: The harder you work for something, the greater you'll feel when you finally achieve it."""
821,' @LargerThanWords: No amount of tears will ever make things the way I want them.'
822,' @Funny_Truth: Music sounds better with you.'
823,' @TheFacts1O1: Humans can theoretically survive on a diet entirely composed of nothing but potatoes and butter.'
824,' @Inspire_Us: Success is not counted by how high you have climbed but by how many people you brought with you. - Wil Rose'
825,"' @Lmao: being skinny might be nice, but having pizza is nicer'"
826,"' @Lmao: \\""It\'s gonna be okay.\\"" \. \. ... \. \. \\""Yeah, because it\'s not happening to you.\\""'"
827,"' @Factsionary: Psychology says; People tend to value memories more than actual people. Sometimes you miss the memories, not the actual pe"
828,' @Factsionary: After four days without sleep you will start to hallucinate.'
829,' @Factsionary: It takes a million years for a glass bottle to fully break down in a landfill.'
830,' @Factsionary: 16% of workers admit to purposely closing the elevator door when they see someone approaching.'
831,"' @Factsionary: When the iPhone was in development it was code-named \\""Project Purple.\\""'"
832,' SURULERE Patience is a virtue.'
833,' @ZodiacFacts: Sometimes a Virgos protective instinct prevents them from opening up.'
834,"' @Inspire_Us: Kind words can be short and easy to speak, but their echoes are truly endless. -Mother Theresa'"
835,"""SEE The Expensive Gift Samuel Eto'o Gave Davido and SEE His Response To Mourinho! (PHOTO)"
836,"'BREAKING NEWS: MTN, Airtel, Glo To Pay N700 MILLION For Poor Network Services"
837,"""JUST IN: 'Balotelli' To Face Life Ban?"
838,"'Ladies, 5 Things He DOES NOT Want To Hear From You"
839,' slept with 300 people and had AT LEAST 5 orgasms a day Confessions Of A Female Nymphomaniac (PICTURED)
840,'Hold On.. Pain Ends.. H.O.P.E'
841,' @TheFactsBook: Over 6 milligrams of gold are lost every year from the average wedding ring just by wearing it.'
842,"' @BestofVirgo: Virgo are thoughtful, affectionate and gracious.'"
843,' @Inspire_Us: Better three hours too soon than a minute too late. - William Shakespeare'
844,' @TheSoDopePosts: When females hear my voice
845,' @TheLoverQuotes: @ChaskaBorek Modern technology Owes ecology -An apology.\. ~Alan M. Eddison lovequotes peace'
846,"'Awww: Kanye West Reveals His Biggest Regret In Life, It May Make You Cry [LOOK]"
847,"'Exposed: How Lamido Sanusi, Senator Saraki, Lai Alabi Fraudulently Acquired Intercontinental Bank Plc (READ)"
848,'Want To Get Pregnant? There An App For That Called Kindara (CLICK)
849,"'5 Men Rape Young Girl And Record Act With Phones, Suspects Arrested And Paraded"
850,'PHOTO: Girl Forced To Have S\xa3x With A Dog and Horse For Money (LOOK)
851,'Ousted Ukraine President Yanukovych For Mass Murder Warrant Issued
852,'10 Exciting Movies coming out in 2015: 6. Warcraft 3. Batman vs. Superman 2. Star Wars VII :
853,' @MlNDBLOWINGS: 10 Exciting Movies coming out in 2015:\. 6. Warcraft\. 3. Batman vs. Superman\. 2. Star Wars VII\. see all :
854,""" @Funny_Truth: You be the Dairy Queen and I'll be your Burger King: You treat me right, and I'll do it your way."""
855,' @TheLoverQuotes: @ChaskaBorek Sometimes we need much less than we think we need... wisdomquotes quotes'
856,' @TheseDamnQuote: Life is too short to spend it at war with yourself.'
857,' @LargerThanWords: A strangers not a stranger when he says hello.'
858,' @TheTrentOnline: 4 Easy Ways To Keep Your Skin Glowing
859,"' @TheTrentOnline: Exposed: How Lamido Sanusi, Senator Saraki, Lai Alabi Fraudulently Acquired Intercontinental Bank Plc (READ)"
860,"""TOP POST TODAY: SHOCKING: Two 5-Year Old Pupils Caught Nak\xa3d, Having 'S\xa3X' In School Bathroom"
861,'BREAKING: Robin Thicke And Wife Split After 9 Years Of Marriage
862,'Did You Know? 10 Fun SEX Facts
863,'7 Relationship Tips Ladies Should Note
864,'It Here: New Samsung Galaxy S5 Smartphone Unveiled (PHOTOS)
865,"' was on of the best gifts God gave me By Komla Dumor Wife, Kwansema"
866,'Some pople lack understanding try and find it ok'
867,"""Don't get the two confused"
868,"' @GirlfriendNotes: reasons to be a mermaid:\. \. - no periods\. - no pants\. - perfect hair\. - u get to lure men into their death\. \. also, free clam"
869,"' ~\\""Meeting you was fate, becoming your friend was a choice but falling in love with you I had no control over :)\\""~"
870,"""Some people just don't know how to be loyal"""
871,' @TheFactsBook: Saudi Prince Alwaleed owns a diamond encrusted $48 million Mercedes and he charges $1000 just to touch it.'
872,' @TheFacts1O1: Women who bottle up their emotions are considered more likely to develop the habit of chronic over thinking and depression.'
873,"'My heart is with you, and it beats for only you...'"
874,' @Funny_Truth: There something wrong with my bed. You not in it.'
875,'Never let a problem to be solved become more important than a person to be loved. -Barbra Johnson'
876,' @TheFacts1O1: Kids born today will spend about 25% of their lives looking at screens.'
877,"'@totalnigeriaplc of d residual\. quality of d oil itself, bt primarily focusing on d wear behavior\. of d engines, gearboxes, axles etc.4/4'"
878,"'@totalnigeriaplc Other than d classical oil analysis, offered by most specialized labs,\. d ANAC system is nt only looking 4 a diagnosis 3/4'"
879,"'@totalnigeriaplc &amp; other\. driveline components, based on d analysis of used oil.\. 2/4'"
880,'@Totalnigeriaplc ANAC (abbreviation for ANAlysis Compared) is d Total\. Lubricants corporate diagnosis system for diesel engines 1/4 FRMFB'
881,'ANAC (abbreviation for ANAlysis Compared) is the Total\. Lubricants corporate diagnosis system for diesel engines 1/4 FRMFB'
882,'@totalnigeriaplc ANAC (abbreviation for ANAlysis Compared) is the Total\. Lubricants corporate diagnosis system for diesel engines etc FRMFB'
883,'@TOTALNigeriaplc ANAC is an abbr. for ANAlysis Compared... Total lubricant'
884,'@TOTALNigeriaplc ANAC(abbreviation for ANAlysis\. Compared) is the Total Lubricants corporate diagnosis system\. for diesel engines etc FRMFB'
885,'@TOTALNigeriaplc ANAC (abbreviation for ANAlysis Compared) is the Total\. Lubricants corporate diagnosis system for diesel engines etc FRMFB'
886,'@TOTALNigeriaplc total lubricant FRMFB'
887,'@TOTALNigeriaplc Automatic Number Announcement Circuit FRMFB'
888,'@TOTALNigeriaplc Automatic Number Announcement Circuit'
889,'@TOTALNigeriaplc 2time in a row... are those not the answers?'
890,'@TOTALNigeriaplc no winners on twitter?
891,'@totalnigeriaplc I got d ans to yesterday quiz check it out'
892,""" @Inspire_Us: It's okay to cry. Just keep going."""
893,' @TheLoverQuotes: @ChaskaBorek Some people make the world special just be being in it... quotes lovequotes'
894,'I don regret fighting 50 Cents Abdulkareem
895,'D KSA warm up for Glo Evergreen Series
896,"'If someone flashes their brights, it means there is a cop ahead. If they flick their lights on and off, it means your lights are off.'"
897,"""my maturity level depends on who I'm with"""
898,'Updated List Of The Top 10 Richest Sportsmen. WOOOW
899,'DAYUUM!!! Basketmouth Breaks Record. MUST SEE
900,' to others 107-Year-Old Nun Shares Her Secrets For A Long Joyful Life
901,'8 Things Women DESPERATELY Want From Men
902,' @TheFacts1O1: There is a place in Tvennessee named Nameless.'
903,"' @TheFactsBook: In 2009, a 10-year-old named Zoe Pemberton tried to sell her grandmother on eBay - She was banned after bids went up to o"
904,"'The past cannot be changed, forgotten, edited, or erased. It can only be accepted'"
905,' @Sheldon_Jokes: If people got notifications about screenshotted texts we would all be screwed'
906,""" @Inspire_Us: Turn your cant's into cans and your dreams into plans."""
907,'Every mother on earth gave birth to a child...except my mother! She gave birth to a legend.'
908,"'My Agric Science teacher used to say, \\""Weed is an unwanted plant...!\\"" SomebodyLied'"
909,"' @Dappyboy0489: In 1996 Ac Milan legend George Weah, paid for his teammates uniforms and expenses. So that Liberia could enter the Africa"
910,"'Brazilian legend Pele, scored 92 hat tricks, 4 goals on 31 ooccasions, 5 goals on 6 occasions, and 8 on an occasion'"
911,"""In 2006,Nigeria Football Federation agreed that Referees may accept bribes from clubs,but that shouldn't affect their decisions during games"""
912,' @TheFunnySayings: If you talk to me past midnight i get real personal and it weird.'
913,"' @FemaleTexts: In life you will meet two kinds of people. Ones who build you up, and ones who tear you down. But in the end, you will tha"
914,' @FemaleTexts: Kiss me like you miss me.\
915,'Revealed: President Jonathan First Query To Suspended CBN Governor Sanusi
916,'Watch It: 10 Signs She Make A BAD WIFE
917,'The Nigerian Guy Who Turned to a Pretty Lady Shows Off Incredible Photos Of Her S\xa3xy Body [PHOTOS]
918,"""WOW! Rooney Becomes Highest Paid Man Utd Footballer Ever! SEE How Much He's Paid (LOOK)"
919,'Apple Founder Steve Jobs Likely To Appear On US Postage Stamp
920,'2.3 million tickets for the 2014 FIFA World Cup already allocated to fans
921,'when there is life there is Hope'
922,"""Love doesn't lie, people do. ~"
923,""" @KinkySexTweets: If you miss her, you should tell her. If you love her, you should show it. She's worth the hurt, you already know it. M"
924,"' @TheFactsBook: \\""Emotionap\\"" is the given term to which overwhelming emotions causes you to fall asleep in the middle of the day.'"
925,'One in five men between the ages of 25 and 34 are living with their parents'
926,' Virgo women like a man with sexy hands and clean/manicured nails.'
927,'Can our feelings be the same for each other?'
928,'How to approach failure
929,'Reminder: charge your battery.'
930,'M.I ft. HHP SuperHuman (Music Video)
931,'FILTHY GAME: A Gallery Of Proud Side Chicks On Instagram &amp; Twitter (PHOTOS)
